,matrikel_num,Studienjahr,geschlecht,avgECTS_sem_before,ects_year_before,year,first_exam_negative,AHS_dummy,BHS_dummy,ausland_vorbildung_dummy,sonstige_vorbildung_dummy,delayed_dummy,num_parallel_studies,jus_dummy,bwl_dummy,years_since_matura,styria_dummy,not_styria_dummy,germany_dummy,other_foreign_dummy,years_since_18,planned_duration,full_duration_sem,full_duration_sem_before,firstGen,cum_ects_pos_before,status_key,ECTS_year,SWS_year,active_dummy,subject
14,110033,1.0,0,0.0,,15,0.0,0,1,0,0,0,0,0.0,0.0,14.0,1,0,0,0,15.0,6,2.0,0.0,,0.0,I,27.0,15.0,1,Padagogik
3360,110033,2.0,0,13.5,27.0,16,0.0,0,1,0,0,0,0,0.0,0.0,14.0,1,0,0,0,15.0,6,4.0,2.0,,27.0,I,26.0,14.0,1,Padagogik
3361,110033,3.0,0,13.25,26.0,17,0.0,0,1,0,0,0,0,0.0,0.0,14.0,1,0,0,0,15.0,6,6.0,4.0,,53.0,I,40.0,22.0,1,Padagogik
3362,110033,4.0,0,18.6,40.0,18,0.0,0,1,0,0,0,0,0.0,0.0,14.0,1,0,0,0,15.0,6,7.64109589041096,5.0,,93.0,X,63.0,27.0,1,Padagogik
3372,112993,3.0,0,6.0,18.0,16,0.0,1,0,0,0,0,0,0.0,0.0,7.0,1,0,0,0,7.0,6,5.0,3.0,0.0,18.0,I,14.0,8.0,1,Padagogik
3373,112993,4.0,0,6.4,14.0,17,0.0,1,0,0,0,0,0,0.0,0.0,7.0,1,0,0,0,7.0,6,7.0,5.0,0.0,32.0,I,4.0,2.0,0,Padagogik
3374,112993,5.0,0,5.142857142857143,4.0,18,0.0,1,0,0,0,0,0,0.0,0.0,7.0,1,0,0,0,7.0,6,9.0,7.0,0.0,36.0,I,8.0,4.0,0,Padagogik
3375,112993,6.0,0,4.888888888888889,8.0,19,0.0,1,0,0,0,0,0,0.0,0.0,7.0,1,0,0,0,7.0,6,11.0,9.0,0.0,44.0,I,4.0,2.0,0,Padagogik
3406,310689,4.0,0,5.5,4.0,16,0.0,0,1,0,0,0,0,0.0,0.0,10.0,0,1,0,0,11.0,6,8.0,6.0,0.0,33.0,I,20.0,10.0,1,Padagogik
3407,310689,5.0,0,6.625,20.0,17,0.0,0,1,0,0,0,0,0.0,0.0,10.0,0,1,0,0,11.0,6,10.0,8.0,0.0,53.0,I,18.0,10.0,1,Padagogik
